position,rank,team,salary,fetch_name,followers,username,full_name,profile_pic_url,is_verified,is_private,id,name
PF,11,Boston Celtics,27734406,Al Horford,432533,al_horford,Al Horford,https://scontent-lga3-1.cdninstagram.com/vp/6709b6ffb14aeac032277d6731748c53/5B6A8CBC/t51.2885-19/11251647_1649394062004948_1580526454_a.jpg,true,false,10733526,Al Horford
PF,12,Oklahoma City Thunder,26243760,Carmelo Anthony,6186787,carmeloanthony,Carmelo Anthony,https://scontent-lga3-1.cdninstagram.com/vp/d055a992b6a932b27c5293d4b36b90ab/5B58BE10/t51.2885-19/s150x150/21042699_1298736576915143_6738891966181801984_a.jpg,true,false,7732613,Carmelo Anthony
PG,13,Portland Trail Blazers,26153057,Damian Lillard,4399274,damianlillard,Damian Lillard,https://scontent-lga3-1.cdninstagram.com/vp/3c8b6c2dec2c5cfb79f1f1b0874b9f0b/5B5D964E/t51.2885-19/s150x150/17076829_1126865954102923_8912037433890045952_a.jpg,true,false,175434065,Damian Lillard
PG,14,New Orleans Pelicans,25686667,Jrue Holiday,174147,jrue_holiday11,Jrue Holiday,https://scontent-lga3-1.cdninstagram.com/vp/d242a28c3ffe5f0aea6f2d729cb9aacf/5B9D80A7/t51.2885-19/s150x150/26864538_570624359981343_912731377042980864_n.jpg,true,false,8714550,Jrue Holiday
SF,15,Golden State Warriors,25000000,Kevin Durant,9632390,kevindurant,Kevin Durant,https://scontent-lga3-1.cdninstagram.com/vp/8c637034a6e48860db683ea837138fd0/5B6701D3/t51.2885-19/s150x150/20838339_230173980840401_1290691007351881728_a.jpg,true,false,13864937,Kevin Durant
SF,16,Washington Wizards,24773250,Otto Porter Jr.,70129,ottodayporter22,Otto Porter Jr.,https://scontent-lga3-1.cdninstagram.com/vp/31a115fb280974ebce86929cc627b725/5B6E7BCD/t51.2885-19/s150x150/25016009_1842904725950181_1175375924342816768_n.jpg,true,true,232349124,Otto Porter Jr.
PG,17,Houston Rockets,24599495,Chris Paul,7592110,cp3,Chris Paul,https://scontent-lga3-1.cdninstagram.com/vp/de6989f331714eb9a6aefb90f338d3f7/5B9CC388/t51.2885-19/s150x150/20184109_257197401462512_7485852169833283584_a.jpg,true,false,184644748,Chris Paul
SG,18,Portland Trail Blazers,23962573,CJ McCollum,711111,3jmccollum,CJMcCollum,https://scontent-lga3-1.cdninstagram.com/vp/d5282f37ba6152f26bae5e6c544c584f/5B6073EB/t51.2885-19/s150x150/28427564_1904319639880862_605634038488629248_n.jpg,true,false,190420048,CJ McCollum
C,19,Detroit Pistons,23775506,Andre Drummond,1009999,andredrummondd,Andre Drummond,https://scontent-lga3-1.cdninstagram.com/vp/6fed4b9d5d3c35faa11be0f2be85499c/5B991038/t51.2885-19/s150x150/29739168_363401830826987_6341478938635665408_n.jpg,true,false,24949656,Andre Drummond
SG,20,Washington Wizards,23775506,Bradley Beal,843646,bradbeal3,Bradley Beal,https://scontent-lga3-1.cdninstagram.com/vp/60a2e6a5e6854a11016c079e9b205fc4/5B6BB505/t51.2885-19/s150x150/12104939_769457626515761_833572843_a.jpg,true,false,180962639,Bradley Beal
PF,21,New Orleans Pelicans,23775506,Anthony Davis,2950405,antdavis23,Anthony Davis,https://scontent-lga3-1.cdninstagram.com/vp/949ef921be026fae69678a18e86cbed8/5B67F294/t51.2885-19/s150x150/17817682_414321185608849_6578955836574400512_a.jpg,true,false,36118956,Anthony Davis
C,22,Charlotte Hornets,23500000,Dwight Howard,2048249,dwighthoward,Dwight Howard,https://scontent-lga3-1.cdninstagram.com/vp/7558ff6a87dc540c04d5ad51671a339b/5B5C22E2/t51.2885-19/s150x150/23966768_134209300561422_9223094388693925888_n.jpg,true,false,215872698,Dwight Howard
SF,23,Memphis Grizzlies,23112004,Chandler Parsons,542132,chandlerparsons,ChandlerParsons,https://scontent-lga3-1.cdninstagram.com/vp/cf6d566c28111a69002db350a9d3104e/5B5CEBAC/t51.2885-19/s150x150/18252432_234743580340220_1384841664052330496_a.jpg,true,false,194141968,Chandler Parsons
SF,24,Dallas Mavericks,23112004,Harrison Barnes,1221984,hbarnes,Harrison Barnes,https://scontent-lga3-1.cdninstagram.com/vp/ce0b977e03275813a1d2a12959327cb6/5B64D5F6/t51.2885-19/s150x150/15056549_1311156272268696_8166508708478582784_a.jpg,true,false,26771129,Harrison Barnes
SG,25,Philadelphia 76ers,23000000,JJ Redick,425538,jjredick,JJ Redick,https://scontent-lga3-1.cdninstagram.com/vp/aa39b75f7ad3a206469b6a690229143a/5B6DA38D/t51.2885-19/s150x150/14033713_1762077967413469_2117918867_a.jpg,true,false,36864410,JJ Redick
C,26,Los Angeles Lakers,22642650,Brook Lopez,106474,brookiethewookie11,Brook Lopez,https://scontent-lga3-1.cdninstagram.com/vp/968d455f13ef4cef68d6ab34ddeeeca3/5B78ADD5/t51.2885-19/s150x150/14269199_1785140728427561_1838428703_a.jpg,true,false,3928921462,Brook Lopez
C,27,Memphis Grizzlies,22642350,Marc Gasol,270382,marcgasol,Marc Gasol,https://scontent-lga3-1.cdninstagram.com/vp/6d4f39d87fae43cddb3d8b5c19b50fca/5B636266/t51.2885-19/s150x150/14262867_236079076810492_8437727041293385728_a.jpg,true,false,246100722,Marc Gasol
C,28,LA Clippers,22642350,DeAndre Jordan,2265277,deandre,DeAndre Jordan,https://scontent-lga3-1.cdninstagram.com/vp/4d7d5a793f09a4674dae929dd8ea1868/5B5A8A30/t51.2885-19/s150x150/22638830_133361110651196_4719066170831929344_n.jpg,true,false,13419018,DeAndre Jordan
C,29,Cleveland Cavaliers,22642350,Kevin Love,2884603,kevinlove,,https://scontent-lga3-1.cdninstagram.com/vp/419bb23db74539b5d76ced743c2f0595/5B6DF264/t51.2885-19/11351734_1641136869498906_1998758496_a.jpg,true,false,194908318,Kevin Love
C,30,Oklahoma City Thunder,22471910,Steven Adams,261733,stevenadams,Steven Adams,https://scontent-lga3-1.cdninstagram.com/vp/df7bd53f368ce191aa2735ec14abd117/5B643225/t51.2885-19/s150x150/26156659_145484202823058_5900492003287760896_n.jpg,true,false,4110707274,Steven Adams
PF,31,Milwaukee Bucks,22471910,Giannis Antetokounmpo,2641723,giannis_an34,Giannis Antetokounmpo,https://scontent-lga3-1.cdninstagram.com/vp/5c60991057bee8b3ad4a6038387bed7f/5B694BDD/t51.2885-19/s150x150/21568841_340056533104072_8183483926765895680_a.jpg,true,false,912639211,Giannis Antetokounmpo
SG,32,Charlotte Hornets,22434783,Nicolas Batum,224088,nicbatum88,Nicolas Batum,https://scontent-lga3-1.cdninstagram.com/vp/f569cda54b581d023fe47ce96e7586a8/5B5C315D/t51.2885-19/s150x150/15043823_2166938140198170_6326975791854780416_a.jpg,true,false,1206281444,Nicolas Batum
C,33,Utah Jazz,21924719,Rudy Gobert,230838,rudygobert27,Rudy Gobert,https://scontent-lga3-1.cdninstagram.com/vp/c8bb443f97f8d045b85f05bcf46fb0f1/5B5706B5/t51.2885-19/s150x150/24175501_539443586420724_6929793169315856384_n.jpg,true,false,43983578,Rudy Gobert
PF,34,San Antonio Spurs,21461010,LaMarcus Aldridge,314863,aldridge_121,LaMarcus Aldridge,https://scontent-lga3-1.cdninstagram.com/vp/f2f5895a27b38816a1313d6ea00971ca/5B7B6753/t51.2885-19/s150x150/19764527_430582870674596_5288535785824321536_a.jpg,true,false,3526338795,LaMarcus Aldridge
SG,35,Indiana Pacers,21000000,Victor Oladipo,904616,vicoladipo,Victor Oladipo,https://scontent-lga3-1.cdninstagram.com/vp/eb27137e483cb74d8cbe974de5c2ed48/5B6F1990/t51.2885-19/s150x150/19534975_120037325271401_3617245787680931840_a.jpg,true,false,23755775,Victor Oladipo
SF,36,LA Clippers,20559599,Danilo Gallinari,295508,danilogallogallinari,Danilo Gallinari,https://scontent-lga3-1.cdninstagram.com/vp/5a48aea1878016000e0f9996b302736c/5B621CE7/t51.2885-19/s150x150/21827528_1133478060123055_6180080767800967168_n.jpg,true,false,403638583,Danilo Gallinari
PF,37,Toronto Raptors,20061729,Serge Ibaka,664748,sergeibaka,Serge Ibaka,https://scontent-lga3-1.cdninstagram.com/vp/0e7e5a081e1464b807c8474b67044b00/5B6D4CC6/t51.2885-19/s150x150/20902282_745483595656616_9014278387341983744_a.jpg,true,false,23489943,Serge Ibaka
PG,38,Sacramento Kings,20000000,George Hill,257867,indianageorge3,George Hill,https://scontent-lga3-1.cdninstagram.com/vp/6055a5b3d5357a6fe2cd0912e684fdd4/5B6F2C53/t51.2885-19/s150x150/17881975_623827124472934_6796649758665474048_a.jpg,true,false,12793727,George Hill
PF,39,Houston Rockets,19578455,Ryan Anderson,57685,ryan_anderson_7,Ryan Anderson,https://scontent-lga3-1.cdninstagram.com/vp/627a120f4d8503203a019b29ca154e18/5B55E1D3/t51.2885-19/s150x150/25038413_1492803974173979_3157852916014907392_n.jpg,true,false,1339195904,Ryan Anderson
SF,40,Oklahoma City Thunder,19508950,Paul George,6389568,ygtrece,Paul George,https://scontent-lga3-1.cdninstagram.com/vp/24d2655a6393eb054ab04acbeb34aa90/5B6B25A4/t51.2885-19/s150x150/21819761_426643537731893_8129296162638266368_n.jpg,true,false,18706841,Paul George
SG,41,Brooklyn Nets,19332500,Allen Crabbe,76321,allencrabbe,Allen Crabbe,https://scontent-lga3-1.cdninstagram.com/vp/600dcedde471df64a2be8f8cddd39af5/5B6AFBC6/t51.2885-19/s150x150/21827718_1316560785120463_6863676889437831168_n.jpg,true,false,1122324732,Allen Crabbe
SG,42,Minnesota Timberwolves,19301070,Jimmy Butler,3309909,jimmybutler,Jimmy Butler,https://scontent-lga3-1.cdninstagram.com/vp/7d3a7ce69eae8e9111e2a9b8d44f2169/5B650A28/t51.2885-19/928008_720325118033505_911950405_a.jpg,true,false,371120493,Jimmy Butler
PG,43,Minnesota Timberwolves,19000000,Jeff Teague,508,jeffteague0,Jeff Teague,https://scontent-lga3-1.cdninstagram.com/vp/1b9f3596bcc4072e34b14e9e64a172ac/5B5B2F9A/t51.2885-19/11311062_1651234261759608_540403323_a.jpg,false,false,1288889404,Jeff Teague
SF,44,San Antonio Spurs,18868626,Kawhi Leonard,36283,kawhi_2_leonard,Kawhi,https://scontent-lga3-1.cdninstagram.com/vp/9c09cb6d481d8929db27c9e16cb7e157/5B600A0F/t51.2885-19/s150x150/12716709_1742123186073827_742082201_a.jpg,false,false,297244766,Kawhi Leonard
PG,45,Boston Celtics,18868626,Kyrie Irving,11419639,kyrieirving,Kyrie Irving,https://scontent-lga3-1.cdninstagram.com/vp/069a7dc9cc5dab3f1fe94490db51a6cf/5B9BD070/t51.2885-19/s150x150/21576947_1901063166585550_4969331638837182464_n.jpg,true,false,10768203,Kyrie Irving
PG,46,Washington Wizards,18063850,John Wall,4073089,johnwall,johnwall,https://scontent-lga3-1.cdninstagram.com/vp/ea79695d85a57d30c2008452f38be2da/5B610053/t51.2885-19/s150x150/29095715_165699107423435_5321222651610398720_n.jpg,true,false,6405615,John Wall
C,47,New Orleans Pelicans,18063850,DeMarcus Cousins,2605723,boogiecousins,DeMarcus Cousins,https://scontent-lga3-1.cdninstagram.com/vp/dc66240406a599c4ce94f791560598cc/5B559DCD/t51.2885-19/s150x150/16464039_1860158017577078_2730942001540235264_n.jpg,true,false,26010027,DeMarcus Cousins
C,48,New York Knicks,17884176,Enes Kanter,204939,eneskanter11,Enes Kanter,https://scontent-lga3-1.cdninstagram.com/vp/cb9fe959e3a17709729e9c71b56f8ba4/5B596BB7/t51.2885-19/s150x150/22638958_125424284840730_6608150073610076160_n.jpg,true,false,2162452000,Enes Kanter
SG,49,Dallas Mavericks,17884176,Wesley Matthews,78,wesley._.matthews,,https://scontent-lga3-1.cdninstagram.com/vp/2c92dc3d4e5a7e72fd0722b0c2048117/5B987CFF/t51.2885-19/s150x150/13767705_1715162405424183_1285416451_a.jpg,false,true,3439162043,Wesley Matthews
SG,50,Golden State Warriors,17826150,Klay Thompson,4882492,klaythompson,Klay Thompson,https://scontent-lga3-1.cdninstagram.com/vp/fb26dc0a73e363551aa90967af82ad0b/5B609A4C/t51.2885-19/10311101_275308376002097_310390708_a.jpg,true,false,1363035707,Klay Thompson
C,51,New York Knicks,17765000,Joakim Noah,461715,stickity13,Joakim Noah,https://scontent-lga3-1.cdninstagram.com/vp/c4433d9a25e032b0c50bead72f2095f4/5B687711/t51.2885-19/11352845_826961484067566_633806234_a.jpg,true,false,300659711,Joakim Noah
SG,52,Los Angeles Lakers,17745894,Kentavious Caldwell-Pope,136144,caldwellpope,Kentavious Caldwell-pope,https://scontent-lga3-1.cdninstagram.com/vp/1fc0c82d8c807c69f8fcbecf48533427/5B78FA68/t51.2885-19/s150x150/20066737_140277136555236_4228902285146587136_a.jpg,true,false,42042860,Kentavious Caldwell-Pope
SF,53,Los Angeles Lakers,17190000,Luol Deng,306470,luoldeng9,Luol Deng,https://scontent-lga3-1.cdninstagram.com/vp/e68df78825267fc1d63e097f78d3bede/5B60AABF/t51.2885-19/11357721_802563059859552_436042328_a.jpg,true,false,24761723,Luol Deng
SF,54,Portland Trail Blazers,17131148,Evan Turner,176804,evanturner,evan turner,https://scontent-lga3-1.cdninstagram.com/vp/06494318e1a46aa97dbeac3f7f2cf36a/5B9C868F/t51.2885-19/s150x150/12357886_568521736648021_1557626366_a.jpg,true,false,46714935,Evan Turner
PG,55,Miami Heat,17000450,Goran Dragic,342106,the_1_dragon,Goran Dragic,https://scontent-lga3-1.cdninstagram.com/vp/9a17a586f638eba6697a0fc217870bd4/5B5DFC43/t51.2885-19/s150x150/21879721_1761935497440491_8919818531650928640_n.jpg,true,false,1293075516,Goran Dragic
C,56,Orlando Magic,17000000,Bismack Biyombo,110030,bismackbiyombo,Bismack Biyombo,https://scontent-lga3-1.cdninstagram.com/vp/f794d817a3496695f3a29663dbe6140c/5B76AFF7/t51.2885-19/10729464_589374314501387_1350109099_a.jpg,true,false,573482256,Bismack Biyombo
SG,57,Orlando Magic,17000000,Evan Fournier,93026,evanfournier10,Evan Mehdi Fournier,https://scontent-lga3-1.cdninstagram.com/vp/59d11ab111da7732b9c499488cbf13e9/5B5CCE00/t51.2885-19/s150x150/14566786_1744589529201673_8244913555510394880_a.jpg,true,false,1742953256,Evan Fournier
SG,58,Atlanta Hawks,16910113,Kent Bazemore,148080,24baze,Kent Bazemore,https://scontent-lga3-1.cdninstagram.com/vp/2f5f48a0508cc02188b5e2a3f74064e8/5B6B1678/t51.2885-19/s150x150/20393811_885035975006370_1378284211064012800_a.jpg,true,false,15544702,Kent Bazemore
SF,59,Philadelphia 76ers,16698103,Robert Covington,343,robertcovington33,Robert Covington,https://scontent-lga3-1.cdninstagram.com/vp/c9227210388c398944c4a6d5b3f911bc/5B656CE5/t51.2885-19/s150x150/16465813_1484860658213359_2162181739051483136_a.jpg,false,false,4456970539,Robert Covington
C,60,Washington Wizards,16661641,Ian Mahinmi,48004,ianou76,Ian Mahinmi,https://scontent-lga3-1.cdninstagram.com/vp/9e70e35aa3ac5b54a6feec7859cc23fe/5B77AD77/t51.2885-19/11821845_162473124086720_1231694116_a.jpg,true,false,183588770,Ian Mahinmi
SF,61,New York Knicks,16500000,Tim Hardaway Jr.,443637,timmyjr10,Tim Hardaway Jr,https://scontent-lga3-1.cdninstagram.com/vp/6ec8278ce6b21f68aa2732819fa0fb43/5B67B168/t51.2885-19/s150x150/19761733_531807457150424_1671892637889593344_a.jpg,true,false,211849705,Tim Hardaway Jr.
PF,62,Golden State Warriors,16400000,Draymond Green,2977332,money23green,Draymond Green,https://scontent-lga3-1.cdninstagram.com/vp/e1b32e6a38c0c1d1800f4cb5a6326b8d/5B99F2B1/t51.2885-19/11939276_910518012317239_736350544_a.jpg,true,false,13745183,Draymond Green
C,63,Cleveland Cavaliers,16400000,Tristan Thompson,2902723,realtristan13,Tristan Thompson,https://scontent-lga3-1.cdninstagram.com/vp/84d6ee5fadf252c8d709cb2ecb94824c/5B66B610/t51.2885-19/s150x150/13671359_290182868003263_1987670778_a.jpg,true,false,18964107,Tristan Thompson
C,64,San Antonio Spurs,16000000,Pau Gasol,1335873,paugasol,Pau,https://scontent-lga3-1.cdninstagram.com/vp/a4ac5993d1657e798339647732b413e7/5B55F5A9/t51.2885-19/s150x150/14540403_1376561009061846_7430375116652937216_a.jpg,true,false,189737007,Pau Gasol
PG,65,Detroit Pistons,16000000,Reggie Jackson,144776,reggie_jackson,Reggie Jackson,https://scontent-lga3-1.cdninstagram.com/vp/b5996eae6d520e714011f5d788b074cc/5B66762A/t51.2885-19/s150x150/17265816_401467036895840_2742284142585577472_a.jpg,true,false,192371147,Reggie Jackson
PG,66,Atlanta Hawks,15500000,Dennis Schroder,440973,ds17_fg,Dennis Schröder,https://scontent-lga3-1.cdninstagram.com/vp/7f9247836f9ff321c854a227c52cc55d/5B66AD11/t51.2885-19/s150x150/20482500_511525529189016_5401137398690086912_a.jpg,true,false,306626904,Dennis Schroder
C,67,Toronto Raptors,15460675,Jonas Valanciunas,260351,jvalanciunas,Jonas Valanciunas,https://scontent-lga3-1.cdninstagram.com/vp/7df1239fd99d51dd51b98a68bddd117d/5B66E215/t51.2885-19/s150x150/20759241_1500489183346256_2668067348228866048_a.jpg,true,false,743177498,Jonas Valanciunas
PG,68,San Antonio Spurs,15453126,Tony Parker,391568,_tonyparker09,Tony Parker,https://scontent-lga3-1.cdninstagram.com/vp/ab3675547287399395402761793ebd59/5B5E31A9/t51.2885-19/s150x150/15535409_605835302948160_8703688003425402880_a.jpg,true,false,1998076484,Tony Parker
C,69,Brooklyn Nets,15280000,Timofey Mozgov,214250,mozg25,Тимофей Мозгов,https://scontent-lga3-1.cdninstagram.com/vp/01e81d824f53c19bb2f8e4bef35c9fbc/5B651DB0/t51.2885-19/10748456_338169676362004_1827085709_a.jpg,true,false,303567942,Timofey Mozgov
PF,70,Indiana Pacers,14996348,Thaddeus Young,1213,thaddeusyoung,Thaddeus Young,https://scontent-lga3-1.cdninstagram.com/vp/e151561ca2486d7d8be4c300804000a2/5B6A3E7F/t51.2885-19/s150x150/14723050_104572543356227_4105140199762165760_a.jpg,false,false,3101446868,Thaddeus Young
SF,71,Golden State Warriors,14814815,Andre Iguodala,1782408,andre,Andre Iguodala,https://scontent-lga3-1.cdninstagram.com/vp/386c0a88bd5602e9a4b6ad1fed2d5d36/5B5A31DA/t51.2885-19/s150x150/13712721_1187958724599862_1405799786_a.jpg,true,false,6246343,Andre Iguodala
SF,72,Brooklyn Nets,14800000,DeMarre Carroll,165204,demarrecarroll1,DeMarre Carroll,https://scontent-lga3-1.cdninstagram.com/vp/45f15a2c9e0cc36036f36bd8fcd05cfa/5B61192B/t51.2885-19/s150x150/19955253_466436733690675_7511974379970887680_a.jpg,true,false,1694451619,DeMarre Carroll
PG,73,Phoenix Suns,14500000,Eric Bledsoe,585501,ebled2,Eric Bledsoe,https://scontent-lga3-1.cdninstagram.com/vp/4e8aa316cfe78a60202963f34a15fdcc/5B56D217/t51.2885-19/s150x150/21479983_719109894946568_2176119603711705088_a.jpg,true,false,14625094,Eric Bledsoe
PG,74,Utah Jazz,14275000,Ricky Rubio,449621,ruuufio,Ricky Rubio,https://scontent-lga3-1.cdninstagram.com/vp/5af1c54181e4b56205011807556426dc/5B6EF419/t51.2885-19/s150x150/28430618_1015562388593815_6110215148977258496_n.jpg,true,false,183589470,Ricky Rubio
SF,75,Utah Jazz,14136364,Joe Ingles,98540,joeingles7,Joe Ingles,https://scontent-lga3-1.cdninstagram.com/vp/037b279ede65996909d01dac2d28059e/5B592850/t51.2885-19/s150x150/11267072_662076927270248_654073684_a.jpg,true,false,27405902,Joe Ingles
C,76,Minnesota Timberwolves,14112360,Gorgui Dieng,90809,gorguidieng,Gorgui Dieng,https://scontent-lga3-1.cdninstagram.com/vp/cd93007702269d18dc73bf8b0cdfa936/5B61D7F4/t51.2885-19/11821730_114397918906436_1751148306_a.jpg,true,false,346543157,Gorgui Dieng
SF,77,Milwaukee Bucks,14100000,Khris Middleton,98671,k_mid22,Khris Middleton,https://scontent-lga3-1.cdninstagram.com/vp/e66ae647bc02775141c482c4ac01a502/5B668A89/t51.2885-19/s150x150/27579870_440416179724959_5290465793803288576_n.jpg,true,false,197686276,Khris Middleton
C,78,Denver Nuggets,14041096,Mason Plumlee,135104,masonplumlee,mason,https://scontent-lga3-1.cdninstagram.com/vp/03b84dcb8a28ef54e427c21c1dbbb9a5/5B690CC8/t51.2885-19/s150x150/30590980_197654894372141_3056371922666258432_n.jpg,true,false,176786341,Mason Plumlee
PF,79,Minnesota Timberwolves,14000000,Taj Gibson,467845,tajgibson22,Taj Gibson,https://scontent-lga3-1.cdninstagram.com/vp/8bfc2ea73e47596a46337f098c0632d5/5B6C27D5/t51.2885-19/s150x150/29096033_229913941082318_1149635489553186816_n.jpg,true,false,13948994,Taj Gibson
C,80,Chicago Bulls,13788500,Robin Lopez,144355,gustogummi88,Robin Lopez,https://scontent-lga3-1.cdninstagram.com/vp/835095390680335115d8048c6d29130b/5B79A920/t51.2885-19/11428392_1623938514558161_445826927_a.jpg,true,false,54963128,Robin Lopez
SG,81,Cleveland Cavaliers,13760000,JR Smith,3684300,teamswish,JR Smith,https://scontent-lga3-1.cdninstagram.com/vp/e1905bf9fa48e7b1e6eeb9a24d7454d8/5B5AD043/t51.2885-19/s150x150/13706784_1292001684158226_407260516_a.jpg,true,false,22138451,JR Smith
PF,82,Miami Heat,13734000,James Johnson,1861,johnjjohnson6,John James Johnson,https://scontent-lga3-1.cdninstagram.com/vp/41ba3e006fd2f8c77e58e9dc934f3351/5B6036C5/t51.2885-19/s150x150/27880781_2017210001654903_2020064196099571712_n.jpg,true,true,7004932540,James Johnson
PG,83,Phoenix Suns,13618750,Brandon Knight,156317,brandonknight,Brandon Knight,https://scontent-lga3-1.cdninstagram.com/vp/97de3bfc00f6064b1973e348972de8ae/5B55E1BC/t51.2885-19/s150x150/17663406_361498030917724_6262462436721295360_a.jpg,true,false,19447170,Brandon Knight
PF,84,Charlotte Hornets,13168750,Marvin Williams,22223,braceyaself,Marvin A. Bracy-Williams Jr.,https://scontent-lga3-1.cdninstagram.com/vp/b7121efece3df6d3321ea1c4573226ba/5B6584C5/t51.2885-19/s150x150/22582425_766184426898129_6512270662508216320_n.jpg,true,true,247769642,Marvin Williams
SF,85,Charlotte Hornets,13000000,Michael Kidd-Gilchrist,226,kidd_gilchrist15,Michael Kidd-Gilchrist,https://scontent-lga3-1.cdninstagram.com/vp/8e5032fd431e7ca05650a8850fd00f42/5B5D93D2/t51.2885-19/11809655_929641253748919_999887370_a.jpg,false,false,479950350,Michael Kidd-Gilchrist
C,86,Phoenix Suns,13000000,Tyson Chandler,183307,tysonchandler,Tyson Chandler,https://scontent-lga3-1.cdninstagram.com/vp/3ee6658726e6bbc3d8d5fcced43344f2/5B5A3593/t51.2885-19/s150x150/15876770_627972257409657_7466489138707955712_n.jpg,true,false,260001551,Tyson Chandler
SG,87,Houston Rockets,12943020,Eric Gordon,257742,officialeg10,Eric Gordon,https://scontent-lga3-1.cdninstagram.com/vp/acdbe8a6e1aaf31079ac9b42077b510e/5B62901A/t51.2885-19/s150x150/16464967_766810770133417_5164399312435675136_a.jpg,true,false,1512210705,Eric Gordon
PF,88,Denver Nuggets,12921348,Kenneth Faried,505184,kennethfaried35,Kenneth Faried,https://scontent-lga3-1.cdninstagram.com/vp/8423136565946bbb5b00b3a6fe4e8dcb/5B77A1BC/t51.2885-19/s150x150/22069730_1622207137831704_7451678360599527424_n.jpg,true,false,12008960,Kenneth Faried
C,89,Washington Wizards,12782609,Marcin Gortat,137595,mgortat13,Marcin Gortat,https://scontent-lga3-1.cdninstagram.com/vp/f20fffc63e38adbe2b05faa9e353183d/5B69850C/t51.2885-19/s150x150/28436501_345428185959632_4382250068065910784_n.jpg,true,false,602470996,Marcin Gortat
C,90,Charlotte Hornets,12584270,Cody Zeller,24275,codyzeller,Cody Zeller,https://scontent-lga3-1.cdninstagram.com/vp/e66d3e0b82d0d8ad227558ace7951707/5B5B950B/t51.2885-19/s150x150/18646097_215475315631065_2121136776713076736_a.jpg,true,false,3205525207,Cody Zeller
PF,91,Chicago Bulls,12500000,Nikola Mirotic,274375,threekola,Nikola Mirotic,https://scontent-lga3-1.cdninstagram.com/vp/61f42cde6581f8fb53d256c8b339a915/5B5D083A/t51.2885-19/s150x150/26866738_162014217917738_2241097773090865152_n.jpg,true,false,1552384556,Nikola Mirotic
C,92,Atlanta Hawks,12500000,Miles Plumlee,51885,mc_plumlord,Miles Plumlee,https://scontent-lga3-1.cdninstagram.com/vp/f114eef1bfbcb7885d879706ff491dbe/5B791A7E/t51.2885-19/s150x150/16230298_410585572615716_7545491493000052736_a.jpg,true,false,1046176073,Miles Plumlee
